,0
739,Nov 2
740,Nov 2
741,Nov 2
742,Nov 2
743,Nov 2
744,Nov 2
745,Nov 2
746,Nov 2
747,Nov 2
748,Nov 2
749,Nov 3
750,Nov 4
751,Nov 6
752,Nov 7
753,Nov 8
754,Nov 8
755,Nov 9
756,Nov 9
757,Nov 9
758,Nov 9
759,Nov 9
760,Nov 9
761,Nov 9
762,Nov 9
763,Nov 9
764,Nov 9
765,Nov 9
766,Nov 9
767,Nov 9
768,Nov 9
769,Nov 10
770,Nov 11
771,Nov 11
772,Nov 12
773,Nov 13
774,Nov 13
775,Nov 14
776,Nov 15
777,Nov 15
778,Nov 16
779,Nov 16
780,Nov 16
781,Nov 16
782,Nov 16
783,Nov 16
784,Nov 16
785,Nov 16
786,Nov 16
787,Nov 16
788,Nov 18
789,Nov 21
790,Nov 21
791,Nov 21
792,Nov 21
793,Nov 23
794,Nov 23
795,Nov 23
796,Nov 23
797,Nov 23
798,Nov 24
799,Nov 25
800,Nov 28
801,Nov 29
802,Nov 29
803,Nov 29
804,Nov 30
805,Nov 30
806,Nov 30
807,Nov 30
808,Nov 30
809,Nov 30
810,Nov 30
811,Nov 30
812,Nov 30
813,Nov 30
814,Nov 30
815,Nov 30
816,Nov 30
817,Nov 30
818,Dec 1
819,Dec 1
820,Dec 2
821,Dec 2
822,Dec 4
823,Dec 5
824,Dec 6
825,Dec 7
826,Dec 7
827,Dec 7
828,Dec 7
829,Dec 7
830,Dec 7
831,Dec 7
832,Dec 7
833,Dec 7
834,Dec 7
835,Dec 7
836,Dec 7
837,Dec 7
838,Dec 7
839,Dec 7
840,Dec 7
841,Dec 8
842,Dec 9
843,Dec 10
844,Dec 11
845,Dec 12
846,Dec 13
847,Dec 14
848,Dec 14
849,Dec 14
850,Dec 14
851,Dec 14
852,Dec 14
853,Dec 14
854,Dec 14
855,Dec 14
856,Dec 14
857,Dec 15
858,Dec 15
859,Dec 17
860,Dec 19
861,Dec 21
862,Dec 21
863,Dec 21
864,Dec 21
865,Dec 21
866,Dec 21
867,Dec 21
868,Dec 21
869,Dec 21
870,Dec 23
871,Dec 25
872,Dec 25
873,Dec 25
874,Dec 25
875,Dec 27
876,Dec 28
877,Dec 28
