,0
662,Dec 20
663,Nov 4
664,Oct 14
665,Nov 7
666,Jan 24
667,Oct 10
668,Oct 9
669,Apr 11
670,Dec 20
671,-
672,-
673,Dec 17
674,Nov 4
675,Oct 18
676,Dec 6
677,Feb 28
678,Feb 7
679,Oct 25
680,Jan 10
681,Dec 6
682,Nov 8
683,Nov 1
684,Nov 8
685,Jan 3
686,Dec 20
687,Oct 13
688,Oct 17
689,Jan 24
690,Oct 28
691,-
692,Dec 6
693,Nov 1
694,Nov 15
695,Nov 8
696,Oct 25
697,Oct 25
698,Jan 10
699,Mar 14
700,Dec 23
701,Nov 4
702,-
703,Apr 4
704,Jan 3
705,Nov 15
706,Nov 22
707,Dec 13
708,-
709,Oct 29
710,Mar 24
711,Oct 25
712,Oct 25
713,Mar 7
714,Dec 6
715,Nov 8
716,Jan 3
717,-
718,Dec 20
719,Nov 15
720,Nov 29
721,Nov 1
722,Nov 22
723,Jan 31
724,Dec 20
725,Nov 15
726,Nov 18
727,Oct 29
728,Nov 22
729,Nov 22
730,Nov 8
731,Jan 6
732,Oct 31
733,Oct 30
734,Oct 30
735,-
736,Nov 1
737,Jan 17
738,Nov 18
739,Jan 3
740,Dec 13
741,Jan 24
742,Feb 14
743,Nov 14
744,Apr 25
745,Dec 6
746,-
747,-
748,Dec 20
749,Nov 8
750,-
751,Dec 20
752,Feb 7
753,-
754,Nov 8
755,Dec 6
756,-
757,Feb 14
758,Feb 7
759,Dec 13
760,-
761,Jan 10
762,Dec 20
763,Dec 20
764,Nov 22
765,Jan 17
766,Nov 22
767,Jun 25
768,-
769,Nov 14
770,-
771,Nov 15
772,-
773,-
774,-
775,Nov 25
776,-
777,Dec 9
778,Nov 29
779,Jan 31
780,May 2
781,Jan 10
782,Feb 10
783,Feb 28
784,Feb 21
785,Nov 22
786,Feb 21
787,Nov 25
788,Nov 20
789,Mar 21
790,Apr 11
791,Apr 7
792,Jan 10
793,Dec 2
794,May 2
795,-
796,Apr 11
797,Mar 28
798,-
799,-
800,Nov 29
801,-
802,Mar 17
803,Feb 21
804,Feb 21
805,Dec 20
806,Dec 6
807,Jan 3
808,Jan 10
809,Dec 9
810,Jun 6
811,Dec 20
812,Dec 30
813,-
814,Dec 20
815,Feb 21
816,Dec 6
817,Dec 9
818,Dec 1
